id,symbol,name
bitcoin,Bitcoin,btc
ethereum,Ethereum,eth
binancecoin,Binance Coin,bnb
tether,Tether,usdt
cardano,Cardano,ada
solana,Solana,sol
ripple,XRP,xrp
polkadot,Polkadot,dot
shiba-inu,Shiba Inu,shib
dogecoin,Dogecoin,doge
usd-coin,USD Coin,usdc
terra-luna,Terra,luna
wrapped-bitcoin,Wrapped Bitcoin,wbtc
chainlink,Chainlink,link
avalanche-2,Avalanche,AVAX
litecoin,Litecoin,ltc
binance-usd,Binance USD,busd
matic-network,Polygon,matic
uniswap,Uniswap,uni
algorand,Algorand,algo
bitcoin-cash,Bitcoin Cash,bch
cosmos,Cosmos,atom
axie-infinity,Axie Infinity,axs
vechain,VeChain,vet
stellar,Stellar,xlm
internet-computer,Internet Computer,icp
dai,Dai,dai
tron,TRON,trx
ftx-token,FTX Token,ftt
fantom,Fantom,ftm
compound-ether,cETH,ceth
theta-token,Theta Network,theta
filecoin,Filecoin,fil
ethereum-classic,Ethereum Classic,etc
hedera-hashgraph,Hedera,hbar
staked-ether,Lido Staked Ether,steth
near,Near,near
okb,OKB,okb
crypto-com-chain,Crypto.com Coin,cro
tezos,Tezos,xtz
elrond-erd-2,Elrond,egld
the-graph,The Graph,grt
monero,Monero,xmr
eos,EOS,eos
thorchain,THORChain,rune
pancakeswap-token,PancakeSwap,cake
aave,Aave,aave
flow,Flow,flow
klay-token,Klaytn,klay
olympus,Olympus,ohm
cdai,cDAI,cdai
quant-network,Quant,qnt
compound-usd-coin,cUSDC,cusdc
ecash,eCash,xec
harmony,Harmony,one
iota,IOTA,miota
kusama,Kusama,ksm
helium,Helium,hnt
bitcoin-cash-sv,Bitcoin SV,bsv
safemoon,SafeMoon,safemoon
leo-token,LEO Token,leo
neo,NEO,neo
bitcoin-cash-abc-2,Bitcoin Cash ABC,bcha
terrausd,TerraUSD,ust
waves,Waves,waves
bittorrent-2,BitTorrent,btt
arweave,Arweave,ar
huobi-btc,Huobi BTC,hbtc
magic-internet-money,Magic Internet Money,mim
decentraland,Decentraland,mana
enjincoin,Enjin Coin,enj
amp-token,Amp,amp
maker,Maker,mkr
sushi,Sushi,sushi
celo,Celo,celo
blockstack,Stacks,stx
curve-dao-token,Curve DAO Token,crv
holotoken,Holo,hot
compound-governance-token,Compound,comp
theta-fuel,Theta Fuel,tfuel
omisego,OMG Network,omg
